Coeff;Alpha;Rd;Rf;n_scenarios;OptimizedX;OptimizedY;ObjVal;AvgLoss;StdDevLoss;OptimizationTime
0.001; 0.68; 0.08; 0.02; 10000; 0; [1000000, 0, 0, 0, 0]; 130709; 41728; 1060; 2.775
0.001; 0.68; 0.08; 0.02; 50000; 0; [1000000, 0, 0, 0, 0]; 130680; 41716; 1345; 21.469
0.001; 0.68; 0.08; 0.02; 100000; 0; [1000000, 0, 0, 0, 0]; 130653; 41707; 1468; 31.848
0.001; 0.68; 0.05; 0.05; 10000; 264904; [618110, 0, 0, 0, 0]; 50452; -5682; 12338; 2.372
0.001; 0.68; 0.05; 0.05; 50000; 268640; [626828, 0, 0, 0, 0]; 50452; -6008; 11299; 13.493
0.001; 0.68; 0.05; 0.05; 100000; 265923; [620487, 0, 0, 0, 0]; 50452; -6022; 12309; 28.39
0.001; 0.68; 0.02; 0.08; 10000; 204062; [0, 476146, 0, 0, 0]; 105749; -58787; 44616; 2.065
0.001; 0.68; 0.02; 0.08; 50000; 216019; [0, 504044, 0, 0, 0]; 105749; -58652; 41993; 12.245
0.001; 0.68; 0.02; 0.08; 100000; 200621; [0, 468117, 0, 0, 0]; 105749; -58596; 45510; 24.644
0.001; 0.95; 0.08; 0.02; 10000; 261679; [610586, 0, 0, 0, 0]; 103704; 50222; 13253; 2.566
0.001; 0.95; 0.08; 0.02; 50000; 273067; [637158, 0, 0, 0, 0]; 103704; 48988; 9661; 14.473
0.001; 0.95; 0.08; 0.02; 100000; 272025; [634727, 0, 0, 0, 0]; 103704; 49099; 10096; 30.03
0.001; 0.95; 0.05; 0.05; 10000; 186129; [0, 434301, 0, 0, 0]; 155900; -2575; 44598; 2.352
0.001; 0.95; 0.05; 0.05; 50000; 203164; [0, 474051, 0, 0, 0]; 155900; -2301; 38975; 13.594
0.001; 0.95; 0.05; 0.05; 100000; 215794; [0, 503519, 0, 0, 0]; 155900; -2601; 35730; 28.656
0.001; 0.95; 0.02; 0.08; 10000; 126104; [0, 0, 294244, 0, 0]; 205057; -58952; 73741; 2.018
0.001; 0.95; 0.02; 0.08; 50000; 141218; [0, 198216, 131293, 0, 0]; 205057; -45792; 77015; 11.569
0.001; 0.95; 0.02; 0.08; 100000; 151834; [0, 184997, 169282, 0, 0]; 205057; -47217; 75044; 23.603
0.001; 0.99; 0.08; 0.02; 10000; 223154; [520694, 0, 0, 0, 0]; 162751; 52958; 25623; 2.391
0.001; 0.99; 0.08; 0.02; 50000; 253999; [592664, 0, 0, 0, 0]; 162751; 50234; 16402; 14.49
0.001; 0.99; 0.08; 0.02; 100000; 237660; [554542, 0, 0, 0, 0]; 162751; 50805; 22058; 30.274
0.001; 0.99; 0.05; 0.05; 10000; 158056; [89487, 279311, 0, 0, 0]; 211509; 15185; 60920; 2.377
0.001; 0.99; 0.05; 0.05; 50000; 167227; [0, 390198, 0, 0, 0]; 211509; -2123; 49269; 13.707
0.001; 0.99; 0.05; 0.05; 100000; 173494; [0, 404821, 0, 0, 0]; 211509; -1825; 47609; 28.91
0.001; 0.99; 0.02; 0.08; 10000; 67639; [0, 0, 0, 157825, 0]; 257427; -59270; 85687; 2.024
0.001; 0.99; 0.02; 0.08; 50000; 127174; [0, 129994, 166744, 0, 0]; 257427; -48243; 81910; 11.504
0.001; 0.99; 0.02; 0.08; 100000; 144826; [0, 260908, 0, 77019, 0]; 257427; -42594; 79973; 23.024
0.01; 0.68; 0.08; 0.02; 10000; 0; [1000000, 0, 0, 0, 0]; 133282; 41687; 1543; 2.756
0.01; 0.68; 0.08; 0.02; 50000; 0; [1000000, 0, 0, 0, 0]; 133377; 41716; 1304; 21.46
0.01; 0.68; 0.08; 0.02; 100000; 0; [1000000, 0, 0, 0, 0]; 133326; 41695; 1696; 31.027
0.01; 0.68; 0.05; 0.05; 10000; 261745; [610739, 0, 0, 0, 0]; 50452; -5291; 13324; 2.403
0.01; 0.68; 0.05; 0.05; 50000; 264111; [616259, 0, 0, 0, 0]; 50452; -5952; 12708; 13.635
0.01; 0.68; 0.05; 0.05; 100000; 264645; [617507, 0, 0, 0, 0]; 50452; -6007; 12632; 28.125
0.01; 0.68; 0.02; 0.08; 10000; 212747; [0, 496410, 0, 0, 0]; 105749; -58743; 42674; 2.343
0.01; 0.68; 0.02; 0.08; 50000; 206855; [0, 482663, 0, 0, 0]; 105749; -58654; 44121; 12.773
0.01; 0.68; 0.02; 0.08; 100000; 200665; [0, 468218, 0, 0, 0]; 105749; -58751; 45730; 24.349
0.01; 0.95; 0.08; 0.02; 10000; 269292; [628349, 0, 0, 0, 0]; 103704; 49564; 10748; 2.742
0.01; 0.95; 0.08; 0.02; 50000; 267954; [625227, 0, 0, 0, 0]; 103704; 49327; 11515; 14.476
0.01; 0.95; 0.08; 0.02; 100000; 272238; [635222, 0, 0, 0, 0]; 103704; 49090; 9962; 29.484
0.01; 0.95; 0.05; 0.05; 10000; 187820; [0, 438246, 0, 0, 0]; 155900; -2658; 43156; 2.533
0.01; 0.95; 0.05; 0.05; 50000; 210888; [0, 492073, 0, 0, 0]; 155900; -2739; 36994; 13.677
0.01; 0.95; 0.05; 0.05; 100000; 204442; [0, 477032, 0, 0, 0]; 155900; -2467; 38619; 28.822
0.01; 0.95; 0.02; 0.08; 10000; 139759; [0, 0, 326105, 0, 0]; 205057; -58210; 70997; 2.324
0.01; 0.95; 0.02; 0.08; 50000; 135513; [0, 183018, 133179, 0, 0]; 205057; -47000; 77350; 11.53
0.01; 0.95; 0.02; 0.08; 100000; 161016; [0, 199723, 175982, 0, 0]; 205057; -46501; 74153; 23.398
0.01; 0.99; 0.08; 0.02; 10000; 230190; [537110, 0, 0, 0, 0]; 162751; 52695; 23410; 2.634
0.01; 0.99; 0.08; 0.02; 50000; 233811; [545559, 0, 0, 0, 0]; 162751; 51154; 23455; 15.1
0.01; 0.99; 0.08; 0.02; 100000; 252849; [589982, 0, 0, 0, 0]; 162751; 50116; 16726; 29.561
0.01; 0.99; 0.05; 0.05; 10000; 173627; [125278, 279852, 0, 0, 0]; 211509; 20502; 60469; 2.485
0.01; 0.99; 0.05; 0.05; 50000; 171972; [0, 401268, 0, 0, 0]; 211509; -2489; 48674; 13.742
0.01; 0.99; 0.05; 0.05; 100000; 184572; [0, 430670, 0, 0, 0]; 211509; -2366; 44523; 28.256
0.01; 0.99; 0.02; 0.08; 10000; 96523; [0, 0, 0, 225220, 0]; 257427; -57145; 84042; 2.182
0.01; 0.99; 0.02; 0.08; 50000; 99947; [0, 0, 225539, 7671, 0]; 257427; -54355; 84754; 11.377
0.01; 0.99; 0.02; 0.08; 100000; 137788; [0, 242202, 0, 79304, 0]; 257427; -43731; 80880; 22.651
0.1; 0.68; 0.08; 0.02; 10000; 300000; [700000, 0, 0, 0, 0]; 149177; 47733; 1358; 2.959
0.1; 0.68; 0.08; 0.02; 50000; 300000; [700000, 0, 0, 0, 0]; 149206; 47744; 1107; 22.315
0.1; 0.68; 0.08; 0.02; 100000; 300000; [700000, 0, 0, 0, 0]; 149197; 47741; 1169; 31.013
0.1; 0.68; 0.05; 0.05; 10000; 300000; [700000, 0, 0, 0, 0]; 50452; -6258; 5003; 2.507
0.1; 0.68; 0.05; 0.05; 50000; 300000; [700000, 0, 0, 0, 0]; 50452; -6722; 3779; 13.512
0.1; 0.68; 0.05; 0.05; 100000; 300000; [700000, 0, 0, 0, 0]; 50452; -6769; 3454; 28.563
0.1; 0.68; 0.02; 0.08; 10000; 300000; [435522, 264477, 0, 0, 0]; 105749; 753; 50149; 2.073
0.1; 0.68; 0.02; 0.08; 50000; 201796; [201733, 269125, 0, 0, 0]; 105749; -31222; 57841; 12.026
0.1; 0.68; 0.02; 0.08; 100000; 200816; [182951, 285620, 0, 0, 0]; 105749; -33854; 57247; 24.948
0.1; 0.95; 0.08; 0.02; 10000; 300000; [700000, 0, 0, 0, 0]; 103704; 48232; 4060; 2.53
0.1; 0.95; 0.08; 0.02; 50000; 300000; [700000, 0, 0, 0, 0]; 103704; 47815; 1935; 14.46
0.1; 0.95; 0.08; 0.02; 100000; 300000; [700000, 0, 0, 0, 0]; 103704; 47782; 1690; 29.773
0.1; 0.95; 0.05; 0.05; 10000; 300000; [370267, 329732, 0, 0, 0]; 155900; 50019; 55535; 2.38
0.1; 0.95; 0.05; 0.05; 50000; 300000; [352217, 347782, 0, 0, 0]; 155900; 46943; 53847; 13.772
0.1; 0.95; 0.05; 0.05; 100000; 300000; [338000, 361999, 0, 0, 0]; 155900; 44895; 52054; 28.521
0.1; 0.95; 0.02; 0.08; 10000; 300000; [0, 700000, 0, 0, 0]; 205057; -15219; 65047; 2.032
0.1; 0.95; 0.02; 0.08; 50000; 300000; [0, 700000, 0, 0, 0]; 205057; -15847; 65889; 11.521
0.1; 0.95; 0.02; 0.08; 100000; 300000; [0, 700000, 0, 0, 0]; 205057; -15640; 66159; 23.716
0.1; 0.99; 0.08; 0.02; 10000; 300000; [700000, 0, 0, 0, 0]; 162751; 49937; 10747; 2.356
0.1; 0.99; 0.08; 0.02; 50000; 300000; [700000, 0, 0, 0, 0]; 162751; 48145; 4773; 14.56
0.1; 0.99; 0.08; 0.02; 100000; 300000; [700000, 0, 0, 0, 0]; 162751; 47944; 3418; 29.657
0.1; 0.99; 0.05; 0.05; 10000; 300000; [466801, 233198, 0, 0, 0]; 211509; 79883; 58013; 2.329
0.1; 0.99; 0.05; 0.05; 50000; 169616; [183167, 212603, 0, 0, 0]; 211509; 30376; 67624; 13.616
0.1; 0.99; 0.05; 0.05; 100000; 174623; [184287, 223166, 0, 0, 0]; 211509; 30172; 66580; 29.199
0.1; 0.99; 0.02; 0.08; 10000; 300000; [700000, 0, 0, 0, 0]; 257427; 40124; 65780; 2.054
0.1; 0.99; 0.02; 0.08; 50000; 300000; [0, 0, 700000, 0, 0]; 257427; -47010; 66018; 11.412
0.1; 0.99; 0.02; 0.08; 100000; 300000; [0, 0, 700000, 0, 0]; 257427; -46901; 65935; 22.706
1; 0.68; 0.08; 0.02; 10000; 300000; [700000, 0, 0, 0, 0]; 149252; 47760; 816; 2.911
1; 0.68; 0.08; 0.02; 50000; 300000; [700000, 0, 0, 0, 0]; 149202; 47743; 1128; 24.311
1; 0.68; 0.08; 0.02; 100000; 300000; [700000, 0, 0, 0, 0]; 149181; 47737; 1172; 30.616
1; 0.68; 0.05; 0.05; 10000; 259936; [606518, 0, 0, 0, 0]; 50452; -5497; 13827; 2.365
1; 0.68; 0.05; 0.05; 50000; 263605; [615079, 0, 0, 0, 0]; 50452; -6007; 12962; 13.65
1; 0.68; 0.05; 0.05; 100000; 268181; [625757, 0, 0, 0, 0]; 50452; -6053; 11590; 28.315
1; 0.68; 0.02; 0.08; 10000; 179576; [0, 419012, 0, 0, 0]; 105749; -58703; 50462; 2.09
1; 0.68; 0.02; 0.08; 50000; 202648; [0, 472847, 0, 0, 0]; 105749; -58897; 45086; 12.053
1; 0.68; 0.02; 0.08; 100000; 210006; [0, 490014, 0, 0, 0]; 105749; -58522; 43328; 24.966
1; 0.95; 0.08; 0.02; 10000; 269177; [628080, 0, 0, 0, 0]; 103704; 49359; 10791; 2.541
1; 0.95; 0.08; 0.02; 50000; 266983; [622960, 0, 0, 0, 0]; 103704; 49291; 11751; 14.245
1; 0.95; 0.08; 0.02; 100000; 269177; [628080, 0, 0, 0, 0]; 103704; 49229; 11003; 30.208
1; 0.95; 0.05; 0.05; 10000; 204437; [0, 477020, 0, 0, 0]; 155900; -2445; 38788; 2.283
1; 0.95; 0.05; 0.05; 50000; 195900; [0, 457100, 0, 0, 0]; 155900; -2678; 41499; 13.978
1; 0.95; 0.05; 0.05; 100000; 222215; [0, 518502, 0, 0, 0]; 155900; -2692; 33649; 28.764
1; 0.95; 0.02; 0.08; 10000; 137222; [0, 320186, 0, 0, 0]; 205057; -38874; 82232; 2.041
1; 0.95; 0.02; 0.08; 50000; 154999; [0, 222288, 139377, 0, 0]; 205057; -45272; 76038; 11.831
1; 0.95; 0.02; 0.08; 100000; 147397; [0, 148352, 195574, 0, 0]; 205057; -49227; 74754; 23.622
1; 0.99; 0.08; 0.02; 10000; 227086; [529868, 0, 0, 0, 0]; 162751; 53016; 24082; 2.502
1; 0.99; 0.08; 0.02; 50000; 243752; [568755, 0, 0, 0, 0]; 162751; 50758; 19824; 14.437
1; 0.99; 0.08; 0.02; 100000; 234048; [546112, 0, 0, 0, 0]; 162751; 50833; 23270; 29.883
1; 0.99; 0.05; 0.05; 10000; 183322; [0, 427752, 0, 0, 0]; 211509; -2086; 45233; 2.352
1; 0.99; 0.05; 0.05; 50000; 164514; [0, 383866, 0, 0, 0]; 211509; -2139; 50490; 13.792
1; 0.99; 0.05; 0.05; 100000; 207918; [0, 485142, 0, 0, 0]; 211509; -2400; 37775; 28.929
1; 0.99; 0.02; 0.08; 10000; 131024; [0, 0, 0, 305724, 0]; 257427; -59137; 79374; 1.981
1; 0.99; 0.02; 0.08; 50000; 136745; [0, 18079, 300994, 0, 0]; 257427; -52843; 81243; 11.583
1; 0.99; 0.02; 0.08; 100000; 111217; [0, 167734, 0, 91773, 0]; 257427; -47823; 83200; 22.908
